Symbol,Date,Open,High,Low,Close,Adj Close,Volume
TSLA,2022-01-03,1147.75,1201.0699462890625,1136.0400390625,1199.780029296875,1199.780029296875,34643800
TSLA,2022-01-04,1189.550048828125,1208.0,1123.050048828125,1149.5899658203125,1149.5899658203125,33416100
TSLA,2022-01-05,1146.6500244140625,1170.3399658203125,1081.010009765625,1088.1199951171875,1088.1199951171875,26706600
TSLA,2022-01-06,1077.0,1088.0,1020.5,1064.699951171875,1064.699951171875,30112200
TSLA,2022-01-07,1080.3699951171875,1080.8299560546875,1010.0,1026.9599609375,1026.9599609375,27849515
AAPL,2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,182.00999450683594,104487900
AAPL,2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,179.6999969482422,99310400
AAPL,2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,174.9199981689453,94537600
AAPL,2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,172.0,96904000
AAPL,2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,172.1699981689453,85116663
MSFT,2022-01-03,335.3500061035156,338.0,329.7799987792969,334.75,334.75,28865100
MSFT,2022-01-04,334.8299865722656,335.20001220703125,326.1199951171875,329.010009765625,329.010009765625,32674300
MSFT,2022-01-05,325.8599853515625,326.07000732421875,315.9800109863281,316.3800048828125,316.3800048828125,40054300
MSFT,2022-01-06,313.1499938964844,318.70001220703125,311.489990234375,313.8800048828125,313.8800048828125,39646100
MSFT,2022-01-07,314.1499938964844,316.4909973144531,310.1000061035156,314.0400085449219,314.0400085449219,32623071
